15	10	E	-7555723.021070745	200
emissionprobs	8	8	H3K79me2	1	0.016535866719769587
emissionprobs	8	9	H3K9me3	0	0.9156187316240163
emissionprobs	8	9	H3K9me3	1	0.08438126837598375
emissionprobs	9	0	3K9ac	0	0.9983246887048939
emissionprobs	9	0	3K9ac	1	0.0016753112951060386
emissionprobs	9	1	H2AFZ	0	0.9959486337962198
emissionprobs	9	1	H2AFZ	1	0.004051366203780243
emissionprobs	9	2	H3K27ac	0	0.7214861037274456
emissionprobs	9	2	H3K27ac	1	0.27851389627255435
emissionprobs	9	3	H3K27me3	0	0.9998929127348337
emissionprobs	9	3	H3K27me3	1	1.0708726516637798E-4
emissionprobs	9	4	H3K36me3	0	0.9997129590482771
emissionprobs	9	4	H3K36me3	1	2.8704095172288146E-4
emissionprobs	9	5	H3K4me1	0	0.9979494983893497
emissionprobs	9	5	H3K4me1	1	0.0020505016106503243
emissionprobs	9	6	H3K4me2	0	0.9981201560185001
emissionprobs	9	6	H3K4me2	1	0.001879843981499928
emissionprobs	9	7	H3K4me3	0	0.9997961081890974
emissionprobs	9	7	H3K4me3	1	2.0389181090272059E-4
emissionprobs	9	8	H3K79me2	0	0.9998725238599693
emissionprobs	9	8	H3K79me2	1	1.2747614003062166E-4
emissionprobs	9	9	H3K9me3	0	0.9968276739620383
emissionprobs	9	9	H3K9me3	1	0.003172326037961694
emissionprobs	10	0	3K9ac	0	0.9985632864212461
emissionprobs	10	0	3K9ac	1	0.0014367135787538207
emissionprobs	10	1	H2AFZ	0	0.9883287344814953
emissionprobs	10	1	H2AFZ	1	0.01167126551850473
emissionprobs	10	2	H3K27ac	0	0.9916638050994094
emissionprobs	10	2	H3K27ac	1	0.00833619490059051
emissionprobs	10	3	H3K27me3	0	0.9999345856938688
emissionprobs	10	3	H3K27me3	1	6.541430613120586E-5
emissionprobs	10	4	H3K36me3	0	0.9994765230579186
emissionprobs	10	4	H3K36me3	1	5.234769420814479E-4
emissionprobs	10	5	H3K4me1	0	0.9987390843428996
emissionprobs	10	5	H3K4me1	1	0.0012609156571004164
emissionprobs	10	6	H3K4me2	0	0.9998804095441799
emissionprobs	10	6	H3K4me2	1	1.195904558201042E-4
emissionprobs	10	7	H3K4me3	0	0.9999312112772912
emissionprobs	10	7	H3K4me3	1	6.878872270877591E-5
emissionprobs	10	8	H3K79me2	0	0.99995526577911
emissionprobs	10	8	H3K79me2	1	4.473422089005226E-5
emissionprobs	10	9	H3K9me3	0	0.9985226391031268
emissionprobs	10	9	H3K9me3	1	0.001477360896873156
emissionprobs	11	0	3K9ac	0	0.9956983223396993
emissionprobs	11	0	3K9ac	1	0.004301677660300519
emissionprobs	11	1	H2AFZ	0	0.3903105695822294
emissionprobs	11	1	H2AFZ	1	0.6096894304177705
emissionprobs	11	2	H3K27ac	0	0.9920518669277435
emissionprobs	11	2	H3K27ac	1	0.00794813307225646
emissionprobs	11	3	H3K27me3	0	0.9890896101149484
